From	To	Species	Gene Name
COP1	64326	Homo sapiens	COP1 E3 ubiquitin ligase(COP1)
ZMAT1	84460	Homo sapiens	zinc finger matrin-type 1(ZMAT1)
UBB	7314	Homo sapiens	ubiquitin B(UBB)
CDH20	28316	Homo sapiens	cadherin 20(CDH20)
ZMAT3	64393	Homo sapiens	zinc finger matrin-type 3(ZMAT3)
ZMAT4	79698	Homo sapiens	zinc finger matrin-type 4(ZMAT4)
TASOR	23272	Homo sapiens	transcription activation suppressor(TASOR)
UBC	7316	Homo sapiens	ubiquitin C(UBC)
TASP1	55617	Homo sapiens	taspase 1(TASP1)
LONRF1	91694	Homo sapiens	LON peptidase N-terminal domain and ring finger 1(LONRF1)
LONRF2	164832	Homo sapiens	LON peptidase N-terminal domain and ring finger 2(LONRF2)
SPECC1	92521	Homo sapiens	sperm antigen with calponin homology and coiled-coil domains 1(SPECC1)
CPSF7	79869	Homo sapiens	cleavage and polyadenylation specific factor 7(CPSF7)
CPSF6	11052	Homo sapiens	cleavage and polyadenylation specific factor 6(CPSF6)
PNPT1	87178	Homo sapiens	polyribonucleotide nucleotidyltransferase 1(PNPT1)
UQCC1	55245	Homo sapiens	ubiquinol-cytochrome c reductase complex assembly factor 1(UQCC1)
HELZ	9931	Homo sapiens	helicase with zinc finger(HELZ)
MACO1	55219	Homo sapiens	macoilin 1(MACO1)
COQ4	51117	Homo sapiens	coenzyme Q4(COQ4)
SEM1	7979	Homo sapiens	SEM1 26S proteasome subunit(SEM1)
DIAPH1	1729	Homo sapiens	diaphanous related formin 1(DIAPH1)
TSGA10	80705	Homo sapiens	testis specific 10(TSGA10)
DIAPH2	1730	Homo sapiens	diaphanous related formin 2(DIAPH2)
CRYL1	51084	Homo sapiens	crystallin lambda 1(CRYL1)
BRWD1	54014	Homo sapiens	bromodomain and WD repeat domain containing 1(BRWD1)
AQP4-AS1	147429	Homo sapiens	AQP4 antisense RNA 1(AQP4-AS1)
BRWD3	254065	Homo sapiens	bromodomain and WD repeat domain containing 3(BRWD3)
FGFR2	2263	Homo sapiens	fibroblast growth factor receptor 2(FGFR2)
ZCCHC2	54877	Homo sapiens	zinc finger CCHC-type containing 2(ZCCHC2)
FGFR1	2260	Homo sapiens	fibroblast growth factor receptor 1(FGFR1)
GPSM2	29899	Homo sapiens	G protein signaling modulator 2(GPSM2)
COLGALT2	23127	Homo sapiens	collagen beta(1-O)galactosyltransferase 2(COLGALT2)
THRB	7068	Homo sapiens	thyroid hormone receptor beta(THRB)
THRA	7067	Homo sapiens	thyroid hormone receptor alpha(THRA)
RABEPK	10244	Homo sapiens	Rab9 effector protein with kelch motifs(RABEPK)
RPS4X	6191	Homo sapiens	ribosomal protein S4 X-linked(RPS4X)
RBM4	5936	Homo sapiens	RNA binding motif protein 4(RBM4)
MFSD6	54842	Homo sapiens	major facilitator superfamily domain containing 6(MFSD6)
LRRTM3	347731	Homo sapiens	leucine rich repeat transmembrane neuronal 3(LRRTM3)
LRRTM4	80059	Homo sapiens	leucine rich repeat transmembrane neuronal 4(LRRTM4)
LRRTM2	26045	Homo sapiens	leucine rich repeat transmembrane neuronal 2(LRRTM2)
DBT	1629	Homo sapiens	dihydrolipoamide branched chain transacylase E2(DBT)
RBM5	10181	Homo sapiens	RNA binding motif protein 5(RBM5)
RBM6	10180	Homo sapiens	RNA binding motif protein 6(RBM6)
HGSNAT	138050	Homo sapiens	heparan-alpha-glucosaminide N-acetyltransferase(HGSNAT)
SVOP	55530	Homo sapiens	SV2 related protein(SVOP)
DCC	1630	Homo sapiens	DCC netrin 1 receptor(DCC)
IQCE	23288	Homo sapiens	IQ motif containing E(IQCE)
MYRIP	25924	Homo sapiens	myosin VIIA and Rab interacting protein(MYRIP)
OXSR1	9943	Homo sapiens	oxidative stress responsive kinase 1(OXSR1)
LSS	4047	Homo sapiens	lanosterol synthase(LSS)
RBL2	5934	Homo sapiens	RB transcriptional corepressor like 2(RBL2)
IQCK	124152	Homo sapiens	IQ motif containing K(IQCK)
GAP43	2596	Homo sapiens	growth associated protein 43(GAP43)
CFAP221	200373	Homo sapiens	cilia and flagella associated protein 221(CFAP221)
RABEP1	9135	Homo sapiens	rabaptin, RAB GTPase binding effector protein 1(RABEP1)
FCHSD2	9873	Homo sapiens	FCH and double SH3 domains 2(FCHSD2)
DDAH1	23576	Homo sapiens	dimethylarginine dimethylaminohydrolase 1(DDAH1)
THRAP3	9967	Homo sapiens	thyroid hormone receptor associated protein 3(THRAP3)
CDH10	1008	Homo sapiens	cadherin 10(CDH10)
CDH11	1009	Homo sapiens	cadherin 11(CDH11)
CDH12	1010	Homo sapiens	cadherin 12(CDH12)
DCX	1641	Homo sapiens	doublecortin(DCX)
CDH13	1012	Homo sapiens	cadherin 13(CDH13)
TERF2IP	54386	Homo sapiens	TERF2 interacting protein(TERF2IP)
DNASE1	1773	Homo sapiens	deoxyribonuclease 1(DNASE1)
CDH18	1016	Homo sapiens	cadherin 18(CDH18)
PDXK	8566	Homo sapiens	pyridoxal kinase(PDXK)
NRXN1	9378	Homo sapiens	neurexin 1(NRXN1)
NRXN3	9369	Homo sapiens	neurexin 3(NRXN3)
ATP1A3	478	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)
NRXN2	9379	Homo sapiens	neurexin 2(NRXN2)
PDXP	57026	Homo sapiens	pyridoxal phosphatase(PDXP)
ATP1A2	477	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)
ATP1A1	476	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)
OGFRL1	79627	Homo sapiens	opioid growth factor receptor like 1(OGFRL1)
ERICH1	157697	Homo sapiens	glutamate rich 1(ERICH1)
CHSY1	22856	Homo sapiens	chondroitin sulfate synthase 1(CHSY1)
RPS6KC1	26750	Homo sapiens	ribosomal protein S6 kinase C1(RPS6KC1)
FAM120B	84498	Homo sapiens	family with sequence similarity 120 member B(FAM120B)
ERICH3	127254	Homo sapiens	glutamate rich 3(ERICH3)
FAM120A	23196	Homo sapiens	family with sequence similarity 120 member A(FAM120A)
TYW1	55253	Homo sapiens	tRNA-yW synthesizing protein 1 homolog(TYW1)
POC1B	282809	Homo sapiens	POC1 centriolar protein B(POC1B)
PDSS2	57107	Homo sapiens	decaprenyl diphosphate synthase subunit 2(PDSS2)
CHSY3	337876	Homo sapiens	chondroitin sulfate synthase 3(CHSY3)
PDSS1	23590	Homo sapiens	decaprenyl diphosphate synthase subunit 1(PDSS1)
TENT2	167153	Homo sapiens	terminal nucleotidyltransferase 2(TENT2)
SNCB	6620	Homo sapiens	synuclein beta(SNCB)
S100PBP	64766	Homo sapiens	S100P binding protein(S100PBP)
OPCML	4978	Homo sapiens	opioid binding protein/cell adhesion molecule like(OPCML)
SNCA	6622	Homo sapiens	synuclein alpha(SNCA)
SLC4A7	9497	Homo sapiens	solute carrier family 4 member 7(SLC4A7)
SLC4A8	9498	Homo sapiens	solute carrier family 4 member 8(SLC4A8)
PDE10A	10846	Homo sapiens	phosphodiesterase 10A(PDE10A)
KANSL1	284058	Homo sapiens	KAT8 regulatory NSL complex subunit 1(KANSL1)
RPS6KB1	6198	Homo sapiens	ribosomal protein S6 kinase B1(RPS6KB1)
PITHD1	57095	Homo sapiens	PITH domain containing 1(PITHD1)
KANSL3	55683	Homo sapiens	KAT8 regulatory NSL complex subunit 3(KANSL3)
ATP13A4	84239	Homo sapiens	ATPase 13A4(ATP13A4)
ATP13A2	23400	Homo sapiens	ATPase cation transporting 13A2(ATP13A2)
ATP13A3	79572	Homo sapiens	ATPase 13A3(ATP13A3)
PAXBP1	94104	Homo sapiens	PAX3 and PAX7 binding protein 1(PAXBP1)
RBMX	27316	Homo sapiens	RNA binding motif protein X-linked(RBMX)
USP6NL	9712	Homo sapiens	USP6 N-terminal like(USP6NL)
ZFYVE9	9372	Homo sapiens	zinc finger FYVE-type containing 9(ZFYVE9)
NEXMIF	340533	Homo sapiens	neurite extension and migration factor(NEXMIF)
RBPJ	3516	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
MEIKIN	728637	Homo sapiens	meiotic kinetochore factor(MEIKIN)
LIPA	3988	Homo sapiens	lipase A, lysosomal acid type(LIPA)
ZDBF2	57683	Homo sapiens	zinc finger DBF-type containing 2(ZDBF2)
ZFYVE28	57732	Homo sapiens	zinc finger FYVE-type containing 28(ZFYVE28)
SCAMP5	192683	Homo sapiens	secretory carrier membrane protein 5(SCAMP5)
PREX2	80243	Homo sapiens	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2(PREX2)
PREX1	57580	Homo sapiens	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1(PREX1)
UBASH3B	84959	Homo sapiens	ubiquitin associated and SH3 domain containing B(UBASH3B)
MPRIP	23164	Homo sapiens	myosin phosphatase Rho interacting protein(MPRIP)
SAMD12	401474	Homo sapiens	sterile alpha motif domain containing 12(SAMD12)
STARD3	10948	Homo sapiens	StAR related lipid transfer domain containing 3(STARD3)
GABARAPL1	23710	Homo sapiens	GABA type A receptor associated protein like 1(GABARAPL1)
MIRLET7BHG	400931	Homo sapiens	MIRLET7B host gene(MIRLET7BHG)
CSNK2A1	1457	Homo sapiens	casein kinase 2 alpha 1(CSNK2A1)
STARD7	56910	Homo sapiens	StAR related lipid transfer domain containing 7(STARD7)
STARD9	57519	Homo sapiens	StAR related lipid transfer domain containing 9(STARD9)
SCAMP1	9522	Homo sapiens	secretory carrier membrane protein 1(SCAMP1)
GAPVD1	26130	Homo sapiens	GTPase activating protein and VPS9 domains 1(GAPVD1)
EML1	2009	Homo sapiens	EMAP like 1(EML1)
HPCAL4	51440	Homo sapiens	hippocalcin like 4(HPCAL4)
SND1	27044	Homo sapiens	staphylococcal nuclease and tudor domain containing 1(SND1)
EML2	24139	Homo sapiens	EMAP like 2(EML2)
EML4	27436	Homo sapiens	EMAP like 4(EML4)
EML5	161436	Homo sapiens	EMAP like 5(EML5)
EML6	400954	Homo sapiens	EMAP like 6(EML6)
ZFYVE16	9765	Homo sapiens	zinc finger FYVE-type containing 16(ZFYVE16)
PRKAR1B	5575	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit beta(PRKAR1B)
PRKAR1A	5573	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
PADI2	11240	Homo sapiens	peptidyl arginine deiminase 2(PADI2)
CDIP1	29965	Homo sapiens	cell death inducing p53 target 1(CDIP1)
CGGBP1	8545	Homo sapiens	CGG triplet repeat binding protein 1(CGGBP1)
NGEF	25791	Homo sapiens	neuronal guanine nucleotide exchange factor(NGEF)
MTMR1	8776	Homo sapiens	myotubularin related protein 1(MTMR1)
MTMR2	8898	Homo sapiens	myotubularin related protein 2(MTMR2)
MTMR3	8897	Homo sapiens	myotubularin related protein 3(MTMR3)
LINC00320	387486	Homo sapiens	long intergenic non-protein coding RNA 320(LINC00320)
MEAF6	64769	Homo sapiens	MYST/Esa1 associated factor 6(MEAF6)
CEP85L	387119	Homo sapiens	centrosomal protein 85 like(CEP85L)
MTMR9	66036	Homo sapiens	myotubularin related protein 9(MTMR9)
THY1	7070	Homo sapiens	Thy-1 cell surface antigen(THY1)
MTMR4	9110	Homo sapiens	myotubularin related protein 4(MTMR4)
HACD3	51495	Homo sapiens	3-hydroxyacyl-CoA dehydratase 3(HACD3)
OAZ1	4946	Homo sapiens	ornithine decarboxylase antizyme 1(OAZ1)
HACD2	201562	Homo sapiens	3-hydroxyacyl-CoA dehydratase 2(HACD2)
SLC5A3	6526	Homo sapiens	solute carrier family 5 member 3(SLC5A3)
MTMR6	9107	Homo sapiens	myotubularin related protein 6(MTMR6)
MTMR7	9108	Homo sapiens	myotubularin related protein 7(MTMR7)
DYNC2LI1	51626	Homo sapiens	dynein cytoplasmic 2 light intermediate chain 1(DYNC2LI1)
GRIN2A	2903	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 2A(GRIN2A)
HMGXB4	10042	Homo sapiens	HMG-box containing 4(HMGXB4)
HSPH1	10808	Homo sapiens	heat shock protein family H (Hsp110) member 1(HSPH1)
PRKAR2B	5577	Homo sapiens	protein kinase cAMP-dependent type II regulatory subunit beta(PRKAR2B)
PRKAR2A	5576	Homo sapiens	protein kinase cAMP-dependent type II regulatory subunit alpha(PRKAR2A)
VTI1A	143187	Homo sapiens	vesicle transport through interaction with t-SNAREs 1A(VTI1A)
RSU1	6251	Homo sapiens	Ras suppressor protein 1(RSU1)
PPARGC1A	10891	Homo sapiens	PPARG coactivator 1 alpha(PPARGC1A)
PPARGC1B	133522	Homo sapiens	PPARG coactivator 1 beta(PPARGC1B)
B3GALNT2	148789	Homo sapiens	beta-1,3-N-acetylgalactosaminyltransferase 2(B3GALNT2)
EDEM3	80267	Homo sapiens	ER degradation enhancing alpha-mannosidase like protein 3(EDEM3)
HACE1	57531	Homo sapiens	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1(HACE1)
LRBA	987	Homo sapiens	LPS responsive beige-like anchor protein(LRBA)
CFAP70	118491	Homo sapiens	cilia and flagella associated protein 70(CFAP70)
SNF8	11267	Homo sapiens	SNF8 subunit of ESCRT-II(SNF8)
NETO2	81831	Homo sapiens	neuropilin and tolloid like 2(NETO2)
GRIN2B	2904	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 2B(GRIN2B)
GRIN2D	2906	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 2D(GRIN2D)
MLLT11	10962	Homo sapiens	MLLT11 transcription factor 7 cofactor(MLLT11)
SETX	23064	Homo sapiens	senataxin(SETX)
MLLT10	8028	Homo sapiens	MLLT10 histone lysine methyltransferase DOT1L cofactor(MLLT10)
UCK2	7371	Homo sapiens	uridine-cytidine kinase 2(UCK2)
GRIN3A	116443	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 3A(GRIN3A)
NAPEPLD	222236	Homo sapiens	N-acyl phosphatidylethanolamine phospholipase D(NAPEPLD)
LINC01630	100287225	Homo sapiens	long intergenic non-protein coding RNA 1630(LINC01630)
ARF3	377	Homo sapiens	ADP ribosylation factor 3(ARF3)
ARF1	375	Homo sapiens	ADP ribosylation factor 1(ARF1)
LRSAM1	90678	Homo sapiens	leucine rich repeat and sterile alpha motif containing 1(LRSAM1)
RPLP1	6176	Homo sapiens	ribosomal protein lateral stalk subunit P1(RPLP1)
DIS3L	115752	Homo sapiens	DIS3 like exosome 3'-5' exoribonuclease(DIS3L)
C7orf50	84310	Homo sapiens	chromosome 7 open reading frame 50(C7orf50)
HEXA	3073	Homo sapiens	hexosaminidase subunit alpha(HEXA)
ATF7IP2	80063	Homo sapiens	activating transcription factor 7 interacting protein 2(ATF7IP2)
AACS	65985	Homo sapiens	acetoacetyl-CoA synthetase(AACS)
EEA1	8411	Homo sapiens	early endosome antigen 1(EEA1)
IKBKB	3551	Homo sapiens	inhibitor of nuclear factor kappa B kinase subunit beta(IKBKB)
NIPBL	25836	Homo sapiens	NIPBL cohesin loading factor(NIPBL)
TUBA1B	10376	Homo sapiens	tubulin alpha 1b(TUBA1B)
TUBA1A	7846	Homo sapiens	tubulin alpha 1a(TUBA1A)
RPLP2	6181	Homo sapiens	ribosomal protein lateral stalk subunit P2(RPLP2)
NELFA	7469	Homo sapiens	negative elongation factor complex member A(NELFA)
APPL2	55198	Homo sapiens	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2(APPL2)
APPL1	26060	Homo sapiens	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1(APPL1)
ELOVL4	6785	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
ELOVL5	60481	Homo sapiens	ELOVL fatty acid elongase 5(ELOVL5)
OPALIN	93377	Homo sapiens	oligodendrocytic myelin paranodal and inner loop protein(OPALIN)
NSUN2	54888	Homo sapiens	NOP2/Sun RNA methyltransferase 2(NSUN2)
NIPA1	123606	Homo sapiens	NIPA magnesium transporter 1(NIPA1)
RRAS2	22800	Homo sapiens	RAS related 2(RRAS2)
SIRT5	23408	Homo sapiens	sirtuin 5(SIRT5)
ELOVL6	79071	Homo sapiens	ELOVL fatty acid elongase 6(ELOVL6)
NSUN6	221078	Homo sapiens	NOP2/Sun RNA methyltransferase 6(NSUN6)
ELOVL7	79993	Homo sapiens	ELOVL fatty acid elongase 7(ELOVL7)
DYNLL1	8655	Homo sapiens	dynein light chain LC8-type 1(DYNLL1)
DYNLL2	140735	Homo sapiens	dynein light chain LC8-type 2(DYNLL2)
SIRT2	22933	Homo sapiens	sirtuin 2(SIRT2)
SUMF1	285362	Homo sapiens	sulfatase modifying factor 1(SUMF1)
FAM222B	55731	Homo sapiens	family with sequence similarity 222 member B(FAM222B)
GPRC5B	51704	Homo sapiens	G protein-coupled receptor class C group 5 member B(GPRC5B)
BDH1	622	Homo sapiens	3-hydroxybutyrate dehydrogenase 1(BDH1)
RILPL1	353116	Homo sapiens	Rab interacting lysosomal protein like 1(RILPL1)
DSCAML1	57453	Homo sapiens	DS cell adhesion molecule like 1(DSCAML1)
STAU1	6780	Homo sapiens	staufen double-stranded RNA binding protein 1(STAU1)
STAU2	27067	Homo sapiens	staufen double-stranded RNA binding protein 2(STAU2)
MIR29B2CHG	100128537	Homo sapiens	MIR29B2 and MIR29C host gene(MIR29B2CHG)
STYXL1	51657	Homo sapiens	serine/threonine/tyrosine interacting like 1(STYXL1)
FSTL4	23105	Homo sapiens	follistatin like 4(FSTL4)
FSTL5	56884	Homo sapiens	follistatin like 5(FSTL5)
UNK	85451	Homo sapiens	unk zinc finger(UNK)
CARNS1	57571	Homo sapiens	carnosine synthase 1(CARNS1)
LINC01608	101927459	Homo sapiens	long intergenic non-protein coding RNA 1608(LINC01608)
STAT4	6775	Homo sapiens	signal transducer and activator of transcription 4(STAT4)
DMD	1756	Homo sapiens	dystrophin(DMD)
CSMD3	114788	Homo sapiens	CUB and Sushi multiple domains 3(CSMD3)
CSMD2	114784	Homo sapiens	CUB and Sushi multiple domains 2(CSMD2)
RPS27A	6233	Homo sapiens	ribosomal protein S27a(RPS27A)
CSMD1	64478	Homo sapiens	CUB and Sushi multiple domains 1(CSMD1)
PMS1	5378	Homo sapiens	PMS1 homolog 1, mismatch repair system component(PMS1)
ANKIB1	54467	Homo sapiens	ankyrin repeat and IBR domain containing 1(ANKIB1)
MDH1	4190	Homo sapiens	malate dehydrogenase 1(MDH1)
STAT2	6773	Homo sapiens	signal transducer and activator of transcription 2(STAT2)
STAT3	6774	Homo sapiens	signal transducer and activator of transcription 3(STAT3)
SAMD4A	23034	Homo sapiens	sterile alpha motif domain containing 4A(SAMD4A)
YLPM1	56252	Homo sapiens	YLP motif containing 1(YLPM1)
SAMD4B	55095	Homo sapiens	sterile alpha motif domain containing 4B(SAMD4B)
GATAD2B	57459	Homo sapiens	GATA zinc finger domain containing 2B(GATAD2B)
STXBP5L	9515	Homo sapiens	syntaxin binding protein 5L(STXBP5L)
GATAD2A	54815	Homo sapiens	GATA zinc finger domain containing 2A(GATAD2A)
TTLL7	79739	Homo sapiens	tubulin tyrosine ligase like 7(TTLL7)
TTLL5	23093	Homo sapiens	tubulin tyrosine ligase like 5(TTLL5)
TTLL3	26140	Homo sapiens	tubulin tyrosine ligase like 3(TTLL3)
LYRM4	57128	Homo sapiens	LYR motif containing 4(LYRM4)
CASTOR2	729438	Homo sapiens	cytosolic arginine sensor for mTORC1 subunit 2(CASTOR2)
RIMBP2	23504	Homo sapiens	RIMS binding protein 2(RIMBP2)
UBAP1	51271	Homo sapiens	ubiquitin associated protein 1(UBAP1)
UBAP2	55833	Homo sapiens	ubiquitin associated protein 2(UBAP2)
ERO1A	30001	Homo sapiens	endoplasmic reticulum oxidoreductase 1 alpha(ERO1A)
ERO1B	56605	Homo sapiens	endoplasmic reticulum oxidoreductase 1 beta(ERO1B)
CCNT2	905	Homo sapiens	cyclin T2(CCNT2)
FAM13B	51306	Homo sapiens	family with sequence similarity 13 member B(FAM13B)
FAM13C	220965	Homo sapiens	family with sequence similarity 13 member C(FAM13C)
UBE2D2	7322	Homo sapiens	ubiquitin conjugating enzyme E2 D2(UBE2D2)
FAM13A	10144	Homo sapiens	family with sequence similarity 13 member A(FAM13A)
UBE2D3	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)
FAM228B	375190	Homo sapiens	family with sequence similarity 228 member B(FAM228B)
SMCHD1	23347	Homo sapiens	structural maintenance of chromosomes flexible hinge domain containing 1(SMCHD1)
ATCAY	85300	Homo sapiens	ATCAY kinesin light chain interacting caytaxin(ATCAY)
KPNA6	23633	Homo sapiens	karyopherin subunit alpha 6(KPNA6)
SLC16A7	9194	Homo sapiens	solute carrier family 16 member 7(SLC16A7)
KPNA4	3840	Homo sapiens	karyopherin subunit alpha 4(KPNA4)
KPNA5	3841	Homo sapiens	karyopherin subunit alpha 5(KPNA5)
SLC25A42	284439	Homo sapiens	solute carrier family 25 member 42(SLC25A42)
SLC16A2	6567	Homo sapiens	solute carrier family 16 member 2(SLC16A2)
KPNA3	3839	Homo sapiens	karyopherin subunit alpha 3(KPNA3)
SLC25A46	91137	Homo sapiens	solute carrier family 25 member 46(SLC25A46)
KPNA1	3836	Homo sapiens	karyopherin subunit alpha 1(KPNA1)
PPP1R16B	26051	Homo sapiens	protein phosphatase 1 regulatory subunit 16B(PPP1R16B)
ZNF680	340252	Homo sapiens	zinc finger protein 680(ZNF680)
UBE2E3	10477	Homo sapiens	ubiquitin conjugating enzyme E2 E3(UBE2E3)
UBE2E1	7324	Homo sapiens	ubiquitin conjugating enzyme E2 E1(UBE2E1)
UBE2E2	7325	Homo sapiens	ubiquitin conjugating enzyme E2 E2(UBE2E2)
FOXP2	93986	Homo sapiens	forkhead box P2(FOXP2)
EMSY	56946	Homo sapiens	EMSY transcriptional repressor, BRCA2 interacting(EMSY)
RBX1	9978	Homo sapiens	ring-box 1(RBX1)
FOXP1	27086	Homo sapiens	forkhead box P1(FOXP1)
ACAP3	116983	Homo sapiens	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3(ACAP3)
MAG	4099	Homo sapiens	myelin associated glycoprotein(MAG)
ACAP2	23527	Homo sapiens	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2(ACAP2)
MAF	4094	Homo sapiens	MAF bZIP transcription factor(MAF)
FSCN1	6624	Homo sapiens	fascin actin-bundling protein 1(FSCN1)
MAL	4118	Homo sapiens	mal, T cell differentiation protein(MAL)
NPTXR	23467	Homo sapiens	neuronal pentraxin receptor(NPTXR)
UTRN	7402	Homo sapiens	utrophin(UTRN)
ZNF675	171392	Homo sapiens	zinc finger protein 675(ZNF675)
KIAA0408	9729	Homo sapiens	KIAA0408(KIAA0408)
KPNB1	3837	Homo sapiens	karyopherin subunit beta 1(KPNB1)
NSMAF	8439	Homo sapiens	neutral sphingomyelinase activation associated factor(NSMAF)
RNASEH2B	79621	Homo sapiens	ribonuclease H2 subunit B(RNASEH2B)
PFKFB3	5209	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)
ARL6	84100	Homo sapiens	ADP ribosylation factor like GTPase 6(ARL6)
ARL3	403	Homo sapiens	ADP ribosylation factor like GTPase 3(ARL3)
STK39	27347	Homo sapiens	serine/threonine kinase 39(STK39)
GLIS3	169792	Homo sapiens	GLIS family zinc finger 3(GLIS3)
THADA	63892	Homo sapiens	THADA armadillo repeat containing(THADA)
FOXO3	2309	Homo sapiens	forkhead box O3(FOXO3)
FHIT	2272	Homo sapiens	fragile histidine triad diadenosine triphosphatase(FHIT)
GLIS1	148979	Homo sapiens	GLIS family zinc finger 1(GLIS1)
FOXO1	2308	Homo sapiens	forkhead box O1(FOXO1)
RAP1GAP	5909	Homo sapiens	RAP1 GTPase activating protein(RAP1GAP)
ACAT1	38	Homo sapiens	acetyl-CoA acetyltransferase 1(ACAT1)
SBNO1	55206	Homo sapiens	strawberry notch homolog 1(SBNO1)
BCL2L13	23786	Homo sapiens	BCL2 like 13(BCL2L13)
CNTNAP3B	728577	Homo sapiens	contactin associated protein family member 3B(CNTNAP3B)
STK38	11329	Homo sapiens	serine/threonine kinase 38(STK38)
HACL1	26061	Homo sapiens	2-hydroxyacyl-CoA lyase 1(HACL1)
MBP	4155	Homo sapiens	myelin basic protein(MBP)
NPTX1	4884	Homo sapiens	neuronal pentraxin 1(NPTX1)
SOCS7	30837	Homo sapiens	suppressor of cytokine signaling 7(SOCS7)
EVI5	7813	Homo sapiens	ecotropic viral integration site 5(EVI5)
MDN1	23195	Homo sapiens	midasin AAA ATPase 1(MDN1)
BICRAL	23506	Homo sapiens	BICRA like chromatin remodeling complex associated protein(BICRAL)
GFPT2	9945	Homo sapiens	glutamine-fructose-6-phosphate transaminase 2(GFPT2)
GFPT1	2673	Homo sapiens	glutamine--fructose-6-phosphate transaminase 1(GFPT1)
FOXN3	1112	Homo sapiens	forkhead box N3(FOXN3)
EEF2	1938	Homo sapiens	eukaryotic translation elongation factor 2(EEF2)
FOXN2	3344	Homo sapiens	forkhead box N2(FOXN2)
MCC	4163	Homo sapiens	MCC regulator of WNT signaling pathway(MCC)
MFHAS1	9258	Homo sapiens	multifunctional ROCO family signaling regulator 1(MFHAS1)
KIAA1755	85449	Homo sapiens	KIAA1755(KIAA1755)
TFCP2	7024	Homo sapiens	transcription factor CP2(TFCP2)
STK24	8428	Homo sapiens	serine/threonine kinase 24(STK24)
STK25	10494	Homo sapiens	serine/threonine kinase 25(STK25)
UST	10090	Homo sapiens	uronyl 2-sulfotransferase(UST)
TUBGCP5	114791	Homo sapiens	tubulin gamma complex component 5(TUBGCP5)
MDM2	4193	Homo sapiens	MDM2 proto-oncogene(MDM2)
AAK1	22848	Homo sapiens	AP2 associated kinase 1(AAK1)
TUBGCP3	10426	Homo sapiens	tubulin gamma complex component 3(TUBGCP3)
MDM4	4194	Homo sapiens	MDM4 regulator of p53(MDM4)
ZNF655	79027	Homo sapiens	zinc finger protein 655(ZNF655)
ZNF654	55279	Homo sapiens	zinc finger protein 654(ZNF654)
MCU	90550	Homo sapiens	mitochondrial calcium uniporter(MCU)
ZNF652	22834	Homo sapiens	zinc finger protein 652(ZNF652)
CNTNAP2	26047	Homo sapiens	contactin associated protein 2(CNTNAP2)
CNTNAP1	8506	Homo sapiens	contactin associated protein 1(CNTNAP1)
LINC00342	150759	Homo sapiens	long intergenic non-protein coding RNA 342(LINC00342)
PPP1R13B	23368	Homo sapiens	protein phosphatase 1 regulatory subunit 13B(PPP1R13B)
CELF1	10658	Homo sapiens	CUGBP Elav-like family member 1(CELF1)
COX4I1	1327	Homo sapiens	cytochrome c oxidase subunit 4I1(COX4I1)
CELF2	10659	Homo sapiens	CUGBP Elav-like family member 2(CELF2)
FHL1	2273	Homo sapiens	four and a half LIM domains 1(FHL1)
CELF4	56853	Homo sapiens	CUGBP Elav-like family member 4(CELF4)
CELF5	60680	Homo sapiens	CUGBP Elav-like family member 5(CELF5)
PIK3CD	5293	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)
CELF6	60677	Homo sapiens	CUGBP Elav-like family member 6(CELF6)
PIK3CB	5291	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta(PIK3CB)
NGRN	51335	Homo sapiens	neugrin, neurite outgrowth associated(NGRN)
FSD1L	83856	Homo sapiens	fibronectin type III and SPRY domain containing 1 like(FSD1L)
CAPZB	832	Homo sapiens	capping actin protein of muscle Z-line subunit beta(CAPZB)
SUMO3	6612	Homo sapiens	small ubiquitin like modifier 3(SUMO3)
DSE	29940	Homo sapiens	dermatan sulfate epimerase(DSE)
SUMO2	6613	Homo sapiens	small ubiquitin like modifier 2(SUMO2)
